Date,ExchangeRate,CurrencyCode
2023-01-24,16259.0500,IDR
2023-01-24,1.9558,BGN
2023-01-24,8.5014,HKD
2023-01-25,1.5360,AUD
2023-01-25,7.3778,CNY
2023-01-25,23.8080,CZK
2023-01-25,5.5690,BRL
2023-01-25,16278.9300,IDR
2023-01-25,1.4544,CAD
2023-01-25,7.4381,DKK
2023-01-25,157.1000,ISK
2023-01-25,3.6651,ILS
2023-01-25,0.8825,GBP
2023-01-25,388.7500,HUF
2023-01-25,88.7258,INR
2023-01-25,1.9558,BGN
2023-01-25,8.5202,HKD
2023-01-25,1.0020,CHF
2023-01-26,16298.9700,IDR
2023-01-26,3.7091,ILS
2023-01-26,387.3800,HUF
2023-01-26,5.5572,BRL
2023-01-26,156.5000,ISK
2023-01-26,88.8255,INR
2023-01-26,8.5295,HKD
2023-01-26,7.4383,DKK
2023-01-26,1.9558,BGN
2023-01-26,7.3893,CNY
2023-01-26,23.8180,CZK
2023-01-26,0.8794,GBP
2023-01-26,1.5308,AUD
2023-01-26,1.4568,CAD
2023-01-26,1.0002,CHF
2023-01-27,7.3690,CNY
2023-01-27,154.9000,ISK
2023-01-27,0.8789,GBP
2023-01-27,388.8500,HUF
2023-01-27,1.5289,AUD
2023-01-27,16281.1500,IDR
2023-01-27,3.7353,ILS
2023-01-27,1.4479,CAD
2023-01-27,1.9558,BGN
2023-01-27,1.0017,CHF
2023-01-27,88.6720,INR
2023-01-27,5.5104,BRL
2023-01-27,8.5061,HKD
2023-01-27,23.8260,CZK
2023-01-27,7.4378,DKK
2023-01-28,0.8789,GBP
2023-01-28,1.0017,CHF
2023-01-28,1.9558,BGN
2023-01-28,88.6720,INR
2023-01-28,154.9000,ISK
2023-01-28,7.3690,CNY
2023-01-28,23.8260,CZK
2023-01-28,5.5104,BRL
2023-01-28,8.5061,HKD
2023-01-28,16281.1500,IDR
2023-01-28,1.4479,CAD
2023-01-28,3.7353,ILS
2023-01-28,1.5289,AUD
2023-01-28,388.8500,HUF
2023-01-28,7.4378,DKK
2023-01-29,23.8260,CZK
2023-01-29,8.5061,HKD
2023-01-29,1.9558,BGN
2023-01-29,7.3690,CNY
2023-01-29,0.8789,GBP
2023-01-29,1.4479,CAD
2023-01-29,154.9000,ISK
2023-01-29,88.6720,INR
2023-01-29,5.5104,BRL
2023-01-29,388.8500,HUF
2023-01-29,16281.1500,IDR
2023-01-29,7.4378,DKK
2023-01-29,3.7353,ILS
2023-01-29,1.5289,AUD
2023-01-29,1.0017,CHF
2023-01-30,1.0045,CHF
2023-01-30,153.3000,ISK
2023-01-30,88.8885,INR
2023-01-30,390.5300,HUF
2023-01-30,1.9558,BGN
2023-01-30,0.8798,GBP
2023-01-30,7.4383,DKK
2023-01-30,3.7786,ILS
2023-01-30,5.5654,BRL
2023-01-30,23.8610,CZK
2023-01-30,1.4532,CAD
2023-01-30,1.5390,AUD
2023-01-30,7.3601,CNY
2023-01-30,8.5415,HKD
2023-01-30,16335.2800,IDR
2023-01-31,1.4570,CAD
2023-01-31,1.5476,AUD
2023-01-31,88.6360,INR
2023-01-31,5.5373,BRL
2023-01-31,7.3198,CNY
2023-01-31,8.4898,HKD
2023-01-31,1.9558,BGN
2023-01-31,390.9100,HUF
2023-01-31,16282.5700,IDR
2023-01-31,7.4388,DKK
2023-01-31,0.8807,GBP
2023-01-31,153.1000,ISK
2023-01-31,1.0032,CHF
2023-01-31,23.7920,CZK
2023-01-31,3.7675,ILS
2023-02-01,390.2000,HUF
2023-02-01,5.5174,BRL
2023-02-01,7.4396,DKK
2023-02-01,153.5000,ISK
2023-02-01,89.1060,INR
2023-02-01,0.9980,CHF
2023-02-01,1.4506,CAD
2023-02-01,3.7690,ILS
2023-02-01,1.5392,AUD
2023-02-01,16299.4700,IDR
2023-02-01,7.3452,CNY
2023-02-01,23.7750,CZK
2023-02-01,0.8841,GBP
2023-02-01,1.9558,BGN
2023-02-01,8.5444,HKD
2023-02-02,23.8090,CZK
2023-02-02,1.5407,AUD
2023-02-02,3.7577,ILS
2023-02-02,0.9992,CHF
2023-02-02,1.4602,CAD
2023-02-02,153.5000,ISK
2023-02-02,7.4393,DKK
2023-02-02,0.8929,GBP
